Microsoft Office,fmt/111,,,,,,,
Microsoft Office,fmt/125,,,,,,,
Microsoft Office,fmt/126,,,,,,,
Microsoft Office,fmt/39,,,,,,,
Microsoft Office,fmt/40,,,,,,,
Microsoft Office,fmt/59,,,,,,,
Microsoft Office,fmt/595,,,,,,,
Microsoft Office,fmt/609,,,,,,,
Microsoft Office,fmt/61,,,,,,,
Microsoft Office,fmt/62,,,,,,,
Microsoft Office,x-fmt/274,,,,,,,
Audio (NLNZ),fmt/278,,,,,,,
Audio (NLNZ),fmt/134,,,,,,,
Audio (AES),fmt/1,,,,,,,
Audio (AES),fmt/141,,,,,,,
Audio (AES),fmt/142,,,,,,,
Audio (AES),fmt/143,,,,,,,
Audio (AES),fmt/2,,,,,,,
Audio (AES),fmt/414,,,,,,,
Audio (AES),fmt/6,,,,,,,
Audio (AES),fmt/703,,,,,,,
Audio (AES),fmt/704,,,,,,,
Audio (AES),fmt/705,,,,,,,
Audio (AES),x-fmt/136,,,,,,,
Image (Mix),fmt/152,,,,,,,
Image (Mix),fmt/154,,,,,,,
Image (Mix),fmt/155,,,,,,,
Image (Mix),fmt/3,,,,,,,
Image (Mix),fmt/353,,,,,,,
Image (Mix),fmt/4,,,,,,,
Image (Mix),fmt/41,,,,,,,
Image (Mix),fmt/42,,,,,,,
Image (Mix),fmt/43,,,,,,,
Image (Mix),fmt/44,,,,,,,
Image (Mix),fmt/592,,,,,,,
Image (Mix),fmt/645,,,,,,,
Image (Mix),fmt/7,,,,,,,
Image (Mix),fmt/730,,,,,,,
Image (Mix),x-fmt/387,,,,,,,
Image (Mix),x-fmt/388,,,,,,,
Image (Mix),x-fmt/390,,,,,,,
Image (Mix),x-fmt/391,,,,,,,
Image (Mix),x-fmt/392,,,,,,,
Image (Mix),x-fmt/398,,,,,,,
Image (Raster),fmt/116,,,,,,,
Image (Raster),fmt/117,,,,,,,
Image (Raster),fmt/12,,,,,,,
Image (Raster),fmt/13,,,,,,,
eBook,fmt/483,,,,,,,
PDF,fmt/14,,,,,,,
PDF,fmt/146,,,,,,,
PDF,fmt/15,,,,,,,
PDF,fmt/157,,,,,,,
PDF,fmt/158,,,,,,,
PDF,fmt/16,,,,,,,
PDF,fmt/17,,,,,,,
PDF,fmt/18,,,,,,,
PDF,fmt/19,,,,,,,
PDF,fmt/20,,,,,,,
PDF,fmt/276,,,,,,,
PDF,fmt/354,,,,,,,
PDF,fmt/477,,,,,,,
PDF,fmt/479,,,,,,,
PDF,fmt/488,,,,,,,
PDF,fmt/95,,,,,,,
Text (Mark-up),fmt/100,,,,,,,
Text (Mark-up),fmt/101,,,,,,,
Text (Mark-up),fmt/102,,,,,,,
Text (Mark-up),fmt/96,,,,,,,
Text (Mark-up),fmt/97,,,,,,,
Text (Mark-up),fmt/98,,,,,,,
Text (Mark-up),fmt/99,,,,,,,
Text (Structured),fmt/45,,,,,,,
Text (Structured),fmt/49,,,,,,,
Text (Structured),fmt/50,,,,,,,
Text (Structured),fmt/52,,,,,,,
Text (Structured),fmt/53,,,,,,,
Text (Unstructured),fmt/869,,,,,,,
Text (Unstructured),x-fmt/16,,,,,,,
Text (Wordprocessed),fmt/136,,,,,,,
Text (Wordprocessed),x-fmt/393,,,,,,,
Text (Wordprocessed),x-fmt/394,,,,,,,
Text (Wordprocessed),x-fmt/44,,,,,,,
Video,fmt/199,,,,,,,
Video,fmt/133,,,,,,,
Video,fmt/200,,,,,,,
Video,fmt/357,,,,,,,
Video,fmt/425,,,,,,,
Video,fmt/468,,,,,,,
Video,fmt/5,,,,,,,
Video,fmt/585,,,,,,,
Video,x-fmt/382,,,,,,,
Video,x-fmt/384,,,,,,,
Video,x-fmt/385,,,,,,,
Video,x-fmt/386,,,,,,,
Webharvest,fmt/289,,,,,,,
Webharvest,fmt/410,,,,,,,
Webharvest,x-fmt/219,,,,,,,
